user_id,pid7_reduced,age_bin,interest,activity_window,activity_n_total,activity_n_urls,activity_n_bias,activity_n_news,activity_n_fake,activity_n_fake_ng,activity_n_fake_either,activity_mean_bias,activity_mean_bias_news,activity_p_news,activity_p_fake,activity_p_fake_ng,activity_p_fake_either,activity_p_fake_news,activity_p_fake_news_ng,activity_p_fake_news_either,browser_history_window,browser_history_n_total,browser_history_n_urls,browser_history_n_bias,browser_history_n_news,browser_history_n_fake,browser_history_n_fake_ng,browser_history_n_fake_either,browser_history_mean_bias,browser_history_mean_bias_news,browser_history_p_news,browser_history_p_fake,browser_history_p_fake_ng,browser_history_p_fake_either,browser_history_p_fake_news,browser_history_p_fake_news_ng,browser_history_p_fake_news_either,activity_gs_search_window,activity_gs_search_n_serps,activity_gs_search_n_cmpts,activity_gs_search_n_results,activity_gs_search_n_urls,activity_gs_search_n_urls_bias,activity_gs_search_n_urls_news,activity_gs_search_n_urls_fake,activity_gs_search_n_urls_fake_ng,activity_gs_search_n_urls_fake_either,activity_gs_search_n_serps_w_news,activity_gs_search_n_serps_w_fake,activity_gs_search_n_serps_w_fake_ng,activity_gs_search_n_serps_w_fake_either,activity_gs_search_n_serps_w_fake_news,activity_gs_search_n_serps_w_fake_news_ng,activity_gs_search_n_serps_w_fake_news_either,activity_gs_search_mean_urls,activity_gs_search_mean_cmpts,activity_gs_search_mean_average_bias,activity_gs_search_mean_weighted_bias,activity_gs_search_mean_ranking_bias,activity_gs_search_mean_average_bias_news,activity_gs_search_mean_weighted_bias_news,activity_gs_search_mean_ranking_bias_news,activity_gs_search_p_serps_w_news,activity_gs_search_p_serps_w_fake,activity_gs_search_p_serps_w_fake_ng,activity_gs_search_p_serps_w_fake_either,activity_gs_search_p_serps_w_fake_news,activity_gs_search_p_serps_w_fake_news_ng,activity_gs_search_p_serps_w_fake_news_either,activity_gs_search_p_urls_news,activity_gs_search_p_urls_fake,activity_gs_search_p_urls_fake_ng,activity_gs_search_p_urls_fake_either,activity_gs_search_p_urls_fake_news,activity_gs_search_p_urls_fake_news_ng,activity_gs_search_p_urls_fake_news_either,activity_gs_follow_window,activity_gs_follow_n_total,activity_gs_follow_n_urls,activity_gs_follow_n_bias,activity_gs_follow_n_news,activity_gs_follow_n_fake,activity_gs_follow_n_fake_ng,activity_gs_follow_n_fake_either,activity_gs_follow_n_unique_urls,activity_gs_follow_n_unique_domains,activity_gs_follow_n_unique_urls_bias,activity_gs_follow_n_unique_urls_news,activity_gs_follow_n_unique_urls_fake,activity_gs_follow_mean_bias,activity_gs_follow_mean_bias_news,activity_gs_follow_p_news,activity_gs_follow_p_fake,activity_gs_follow_p_fake_ng,activity_gs_follow_p_fake_either,activity_gs_follow_p_fake_news,activity_gs_follow_p_fake_news_ng,activity_gs_follow_p_fake_news_either,party7,party_cat,age_group,high_interest,college,female,race_r,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
393,Not very strong Democrat,25 - 44,Somewhat interested,,,,,,,,,,,,,,,,,,15.02244212962963,2097.0,2097.0,589.0,10.0,0.0,0.0,0.0,-0.0262680814940577,0.17348,0.0047687172150691,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Not very strong D,25-44,0,1,0,1,,,,,,,,,,
394,Lean Democrat,65+,Extremely interested,178.9625462962963,21673.0,19352.0,7032.0,2687.0,3.0,12.0,12.0,0.0766027872582454,0.04297676003028,0.138848697809012,0.000155022736668,0.0006200909466721,0.0006200909466721,0.0011164867882396,0.0044659471529586,0.0044659471529586,257.433287037037,35032.0,35032.0,6719.0,2080.0,20.0,30.0,30.0,0.0753184253609167,0.0395533366287691,0.0593742863667504,0.0005709065996802,0.0008563598995204,0.0008563598995204,0.0096153846153846,0.0144230769230769,0.0144230769230769,94.5321875,42.0,466.0,820.0,713.0,439.0,123.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,16.976190476190474,11.095238095238097,0.0059539405781278,0.010770115532591,0.0048161749544631,-0.0961937184343434,-0.1061962154144256,-0.0100024969800822,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.1725105189340813,0.0,0.0,0.0,0.0,0.0,0.0,93.05743055555556,17.0,17.0,8.0,4.0,0.0,0.0,0.0,15.0,15.0,8.0,4.0,0.0,-0.0469375,-0.0967,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,5,Ind/Lean D,65+,1,0,1,1,-0.168608402042459,0.0182996649453366,-0.0439839942345502,0.0156014720369006,-0.0250396998210158,0.0292594528665064,0.0038934780720163,0.0050063834437437,-0.0042136022501966,0.0173986452033521
395,Lean Republican,18 - 24,Very interested,61.67435185185185,17069.0,15840.0,6832.0,98.0,0.0,2.0,2.0,0.0007450234192043,0.0302561224489795,0.0061868686868686,0.0,0.0001262626262626,0.0001262626262626,0.0,0.0204081632653061,0.0204081632653061,102.0598148148148,41025.0,41025.0,16975.0,89.0,0.0,1.0,1.0,-0.0528975257731958,-0.0024215909090909,0.002169408897014,0.0,2.4375380865326025e-05,2.4375380865326025e-05,0.0,0.0112359550561797,0.0112359550561797,15.772361111111111,1048.0,11446.0,16352.0,14672.0,7397.0,3788.0,3.0,0.0,3.0,444.0,3.0,0.0,3.0,3.0,0.0,3.0,14.0,10.92175572519084,-0.0808778668201912,-0.0846584454627014,-0.0037805786425101,-0.0893382887184957,-0.0866480760281412,0.0026902126903545,0.4236641221374045,0.0028625954198473,0.0,0.0028625954198473,0.0067567567567567,0.0,0.0067567567567567,0.2581788440567066,0.0002044711014176,0.0,0.0002044711014176,0.0007919746568109,0.0,0.0007919746568109,15.712256944444444,302.0,302.0,96.0,14.0,0.0,0.0,0.0,276.0,126.0,90.0,11.0,0.0,-0.0730145833333333,-0.1471857142857142,0.0463576158940397,0.0,0.0,0.0,0.0,0.0,0.0,3,Ind/Lean R,18-24,1,0,0,1,-0.25826739226138,0.0360271981568706,-0.0326979757494642,0.0550440062115117,0.0254387022479876,0.0316456927604247,-0.0087340771246167,-0.0281279867407724,0.0094082053069475,0.00028396434124
396,Not very strong Democrat,25 - 44,Very interested,67.39950231481481,29703.0,25683.0,12570.0,285.0,0.0,3.0,3.0,0.0303176531424036,0.0931216312056737,0.011096834481953,0.0,0.0001168087840205,0.0001168087840205,0.0,0.0105263157894736,0.0105263157894736,155.0741087962963,35856.0,35856.0,19458.0,494.0,0.0,3.0,3.0,0.0185659060540651,0.0875113402061855,0.0137773315484158,0.0,8.366800535475234e-05,8.366800535475234e-05,0.0,0.0060728744939271,0.0060728744939271,67.98597222222222,1448.0,16799.0,27887.0,25230.0,13004.0,1876.0,15.0,11.0,26.0,572.0,11.0,10.0,21.0,11.0,10.0,21.0,17.424033149171272,11.601519337016574,0.022212495150977,0.020478163221706,-0.0017343319292709,-0.021000136037269,-0.0163493344877771,0.0046508015494918,0.3950276243093922,0.0075966850828729,0.0069060773480662,0.0145027624309392,0.0192307692307692,0.0174825174825174,0.0367132867132867,0.074355925485533,0.0005945303210463,0.0004359889021006,0.001030519223147,0.0079957356076759,0.0058635394456289,0.0138592750533049,67.98496527777777,461.0,461.0,221.0,36.0,0.0,1.0,1.0,421.0,264.0,204.0,35.0,1.0,0.0423122171945701,0.0101555555555555,0.0780911062906724,0.0,0.0021691973969631,0.0021691973969631,0.0,0.0277777777777777,0.0277777777777777,6,Not very strong D,25-44,1,0,0,3,-0.30694026107536,0.029771213471077,-0.0184411724850101,0.0515822614765387,0.0079686807755704,0.007872525073477,0.0008220756267161,-0.000748494471639,0.0078501245728757,0.0197321306180842
397,Strong Republican,45 - 64,Not very interested,39.05777777777778,12835.0,11203.0,2543.0,653.0,0.0,2.0,2.0,0.1789636649626391,0.0649814132104454,0.0582879585825225,0.0,0.0001785236097473,0.0001785236097473,0.0,0.003062787136294,0.003062787136294,72.9310300925926,25284.0,25284.0,6363.0,1848.0,0.0,2.0,2.0,0.1945508879459374,0.0592518236254763,0.0730897009966777,0.0,7.910140800506249e-05,7.910140800506249e-05,0.0,0.001082251082251,0.001082251082251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Strong R,45-64,0,0,1,1,,,,,,,,,,
398,Strong Democrat,65+,Very interested,71.94045138888889,20547.0,18605.0,5390.0,972.0,0.0,27.0,27.0,-0.014292337662338,-0.1010400895856663,0.052244020424617,0.0,0.0014512227895726,0.0014512227895726,0.0,0.0277777777777777,0.0277777777777777,160.17917824074075,71509.0,71509.0,17678.0,2088.0,1.0,30.0,30.0,-0.0033027774635139,-0.1078673880221439,0.0291991217888657,1.3984253730299683e-05,0.0004195276119089,0.0004195276119089,0.0004789272030651,0.014367816091954,0.014367816091954,70.98105324074074,567.0,6392.0,10885.0,8992.0,4498.0,1912.0,0.0,4.0,4.0,415.0,0.0,4.0,4.0,0.0,4.0,4.0,15.858906525573191,11.27336860670194,0.0319138198557341,0.0327684536947084,0.0008546338389742,0.0145256433227914,0.0182779293499037,0.0037522860271122,0.7319223985890653,0.0,0.0070546737213403,0.0070546737213403,0.0,0.0096385542168674,0.0096385542168674,0.2126334519572953,0.0,0.0004448398576512,0.0004448398576512,0.0,0.002092050209205,0.002092050209205,69.95174768518518,302.0,302.0,152.0,54.0,0.0,0.0,0.0,276.0,162.0,145.0,51.0,0.0,-0.0279967105263157,0.0282499999999999,0.1788079470198675,0.0,0.0,0.0,0.0,0.0,0.0,7,Strong D,65+,1,1,0,1,-0.195647206723999,-0.0357244082965383,-0.0780275113679647,-0.0584131355853153,-0.0592495412971664,0.0236616747533739,0.0132553956873998,0.0188741988903702,0.027875187171378,-0.0064568472042811
399,Strong Democrat,45 - 64,Extremely interested,100.46667824074072,535.0,454.0,102.0,0.0,0.0,0.0,0.0,0.0264696078431372,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.48106481481481,325.0,325.0,41.0,0.0,0.0,0.0,0.0,-0.0907073170731707,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Strong D,45-64,1,1,0,2,,,,,,,,,,
400,Not very strong Republican,25 - 44,Somewhat interested,16.65412037037037,3943.0,3676.0,497.0,2.0,0.0,0.0,0.0,0.0646444668008046,0.4124,0.000544069640914,0.0,0.0,0.0,0.0,0.0,0.0,101.87498842592592,5261.0,5261.0,879.0,1.0,0.0,0.0,0.0,0.0290700796359499,0.4124,0.0001900779319521,0.0,0.0,0.0,0.0,0.0,0.0,15.91351851851852,54.0,235.0,738.0,629.0,273.0,96.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,11.648148148148149,4.351851851851852,-0.0301005752794214,-0.0238930403100048,0.0062075349694166,-0.0299142023809523,-0.0321112483620215,-0.0021970459810691,0.3703703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.1526232114467408,0.0,0.0,0.0,0.0,0.0,0.0,12.04138888888889,14.0,14.0,2.0,1.0,0.0,0.0,0.0,13.0,12.0,2.0,1.0,0.0,0.31045,0.4124,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2,Not very strong R,25-44,0,0,1,1,-0.237405089719246,0.0690790644365463,-0.0684326604370281,0.0885430295078725,0.0507852440536345,0.035004449382711,0.0013715546192719,-0.0293637337340439,-0.0191821340352059,-0.0028710651657564
401,Strong Democrat,18 - 24,Somewhat interested,91.7719675925926,28528.0,25987.0,4855.0,117.0,0.0,0.0,0.0,0.0610716374871278,-0.0755201834862385,0.0045022511255627,0.0,0.0,0.0,0.0,0.0,0.0,179.4467013888889,41946.0,41946.0,10273.0,211.0,1.0,0.0,1.0,0.0270917842889126,-0.0447586387434554,0.0050302770228388,2.3840175463691413e-05,0.0,2.3840175463691413e-05,0.0047393364928909,0.0,0.0047393364928909,89.79162037037037,705.0,8050.0,12513.0,10837.0,4832.0,1575.0,0.0,4.0,4.0,357.0,0.0,4.0,4.0,0.0,4.0,4.0,15.37163120567376,11.418439716312056,-0.0420531486448545,-0.0504681444229382,-0.0084149957780837,-0.1061073381110033,-0.1099252686230794,-0.0038179305120761,0.5063829787234042,0.0,0.0056737588652482,0.0056737588652482,0.0,0.011204481792717,0.011204481792717,0.1453354249330995,0.0,0.0003691058410999,0.0003691058410999,0.0,0.0025396825396825,0.0025396825396825,88.02496527777778,161.0,161.0,66.0,14.0,0.0,0.0,0.0,153.0,127.0,61.0,13.0,0.0,-0.0024636363636363,-0.1202571428571428,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,7,Strong D,18-24,0,1,1,1,-0.259481129143972,-0.0107685437840558,-0.0416247115668857,0.003007263005921,-0.04398619837068,-0.0030364962835772,0.01337086658623,0.0157978629809607,0.005437820722875,-0.022424937339287
402,Lean Democrat,25 - 44,Very interested,64.43836805555556,8424.0,7936.0,2133.0,253.0,0.0,0.0,0.0,0.0331933895921236,-0.2144307999999999,0.0318800403225806,0.0,0.0,0.0,0.0,0.0,0.0,152.35099537037038,18600.0,18600.0,4116.0,460.0,5.0,1.0,5.0,0.038333527696793,-0.1835810933940774,0.0247311827956989,0.000268817204301,5.3763440860215054e-05,0.000268817204301,0.0108695652173913,0.0021739130434782,0.0108695652173913,60.00207175925926,189.0,1844.0,2736.0,2492.0,1795.0,1097.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,13.185185185185183,9.756613756613756,-0.0964489571996489,-0.0899681410634922,0.0064808161361567,-0.1221701336131189,-0.1289917497037954,-0.0068216160906765,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.4402086677367576,0.0,0.0,0.0,0.0,0.0,0.0,59.02207175925926,51.0,51.0,41.0,15.0,0.0,0.0,0.0,46.0,41.0,36.0,15.0,0.0,-0.0676439024390244,-0.1857133333333333,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,5,Ind/Lean D,25-44,1,1,1,1,-0.320327412390715,-0.0274094574679753,-0.0657876646049368,-0.0285389488286413,-0.041759809734301,-0.0011575494127294,-0.0110852453135678,-0.0496133227938634,0.0016381603254666,0.0020486786910752
